country,1996,2002,2005,2008,2012,2000,1986,1987,1991,1992,1993,1994,1995,1997,1998,1999,2001,2003,2004,2006,2007,2009,2010,2011,2013,2014,1983,1985,1988,1990,1981,1982,1984,1989
Malaysia,NA,NA,NA,NA,NA,NA,NA,11.61,NA,10.92,NA,NA,10.7,6.62,NA,NA,NA,NA,2.34,NA,3.05,2.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.01,10.78
Maldives,NA,36.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.04,NA,NA,NA,NA,79.27,NA,NA,76.13,NA,77.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauritania,NA,NA,NA,32.46,NA,43.88,NA,64.18,NA,NA,68.16,NA,47.53,NA,NA,NA,NA,NA,40.33,NA,NA,NA,NA,NA,NA,22.07,NA,NA,NA,NA,NA,NA,NA,NA
Mauritius,NA,NA,NA,NA,2.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,31.3,22.9,18.11,12.03,10.32,24.54,NA,NA,NA,24.4,NA,22.83,NA,NA,29.88,NA,NA,NA,13.03,11.43,NA,NA,11.9,NA,NA,10.95,NA,NA,NA,NA,NA,NA,20.99,18.07
Micronesia (country),NA,NA,28.51,NA,NA,61.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle East & North Africa,24.42,NA,17.56,14.26,NA,NA,NA,29.03,NA,NA,25.21,NA,NA,NA,NA,19.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.94,NA,NA,28.84,NA
Middle income,60.25,54.31,47.18,41.97,32.37,NA,NA,67.53,NA,NA,64.75,NA,NA,NA,NA,58.96,NA,NA,NA,NA,NA,NA,38.02,34.6,28.92,NA,NA,NA,NA,66.69,71.72,NA,70.63,NA
Moldova,NA,42.59,38.67,8.31,2.88,67.14,NA,NA,NA,33.86,NA,NA,NA,41.99,55.69,68.35,57.87,30.45,30.85,11.74,7.27,7.43,5.19,3.54,1.95,1.03,NA,NA,0,NA,NA,NA,NA,NA
Mongolia,NA,33.63,NA,NA,3.95,NA,NA,NA,NA,NA,NA,NA,36.93,NA,60.57,NA,NA,NA,NA,NA,11.29,NA,8.74,6.21,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA
Montenegro,NA,NA,1.11,0.46,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,0.56,0.59,0.53,1.03,2.53,0.5,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,NA,NA,NA,NA,NA,25.73,NA,NA,NA,NA,NA,NA,NA,NA,26.64,NA,NA,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.92,NA,NA,31.07,NA
Mozambique,94.04,92.04,NA,87.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Namibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.93,NA,NA,NA,NA,NA,NA,54.74,NA,NA,NA,45.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nepal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.47,NA,NA,NA,NA,73.77,NA,NA,NA,NA,48.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.88,NA
Nicaragua,NA,NA,39.35,NA,NA,NA,NA,NA,NA,NA,42.21,NA,NA,NA,37.56,NA,37.51,NA,NA,NA,NA,25.16,NA,NA,NA,17.12,NA,NA,NA,NA,NA,NA,NA,NA
Niger,NA,NA,90.04,NA,NA,NA,NA,NA,NA,93.38,NA,93.61,NA,NA,NA,NA,NA,NA,NA,NA,90.08,NA,NA,81.75,NA,75.46,NA,NA,NA,NA,NA,NA,NA,NA
Nigeria,81.04,NA,NA,NA,NA,NA,NA,NA,NA,76.15,NA,NA,NA,NA,NA,NA,NA,78.51,NA,NA,NA,76.46,NA,NA,NA,NA,NA,70.64,NA,NA,NA,NA,NA,NA
Pakistan,60.54,NA,57.05,NA,NA,NA,NA,86.67,NA,NA,NA,NA,NA,NA,63.82,NA,70.04,NA,58.08,NA,52.88,NA,44.92,43.58,36.88,NA,NA,NA,NA,85.57,NA,NA,NA,NA
Palestine,NA,NA,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79,1.08,3.93,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panama,NA,21.8,18.84,11.99,9.91,21.79,NA,NA,30.88,NA,NA,NA,24.08,22.79,22.92,20.44,25.05,20.8,19.74,19.33,16.42,9.46,10.7,9.49,7.98,8.37,NA,NA,NA,NA,NA,NA,NA,33.17
Papua New Guinea,70.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraguay,NA,26.17,16.08,14.1,9.66,NA,NA,NA,NA,NA,NA,NA,22.7,19.01,NA,19.33,17.66,19.4,17.25,20.37,16.5,14.46,13.45,12.14,6.3,6.99,NA,NA,NA,4.22,NA,NA,NA,NA
Peru,NA,29.43,27.37,17.46,10.79,29.87,NA,NA,NA,NA,NA,32.66,NA,32.07,30.34,31.01,32.61,27.23,25.5,23.99,20.84,15.35,13.01,11.69,9.7,9.01,NA,36.51,NA,NA,NA,NA,NA,NA
Philippines,NA,NA,NA,NA,37.61,43.08,NA,NA,52.03,NA,NA,50.15,NA,41.7,NA,NA,NA,40,NA,40.66,NA,36.45,NA,NA,NA,NA,NA,55.82,53.52,NA,NA,NA,NA,NA
Poland,18.38,1.43,1.37,0.38,0.26,1.1,NA,0.32,NA,NA,2.63,NA,NA,NA,0.76,0.87,1.26,0.91,1.14,1.62,0.51,0.28,1,0.35,0.26,0.31,NA,0.39,NA,NA,NA,NA,NA,0.21
Romania,NA,22.24,11.83,11.45,11.6,28.84,NA,NA,NA,2.53,NA,39.75,NA,NA,11.53,26.42,22.97,18.86,14.74,11.74,8.99,9.89,11.33,12.43,4.05,NA,NA,NA,NA,NA,NA,NA,NA,0.65
Russia,10.73,4.25,3.21,0.44,0.48,9.22,NA,NA,NA,NA,10.11,NA,NA,5.12,7.25,12.38,8.06,5.11,4.1,2.79,1.24,0.43,0.85,0.56,NA,NA,NA,NA,12.26,NA,NA,NA,NA,NA
Rwanda,NA,NA,84.05,NA,NA,89.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.66,NA,80.6,NA,NA,NA,NA,NA,NA,NA,88.6,NA
Saint Lucia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samoa,NA,NA,NA,8.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,NA,NA,NA,NA,NA,62.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senegal,NA,NA,66.38,NA,NA,NA,NA,NA,83.81,NA,NA,82.09,NA,NA,NA,NA,75.42,NA,NA,NA,NA,NA,NA,66.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
